subj_group,subj,trial,trial_target,appearance,avg_known,known,length
train,1,20,swan,first,0.12195121951219512,FALSE,38
train,1,34,swan,second,0.12195121951219512,FALSE,9
train,2,17,swan,first,0.12195121951219512,FALSE,19
train,2,29,swan,second,0.12195121951219512,FALSE,11
train,3,11,swan,first,0.12195121951219512,FALSE,3
train,3,25,swan,second,0.12195121951219512,FALSE,3
train,4,8,swan,first,0.12195121951219512,FALSE,4
train,4,32,swan,second,0.12195121951219512,FALSE,10
train,5,5,swan,first,0.12195121951219512,FALSE,10
train,5,17,swan,second,0.12195121951219512,FALSE,4
train,6,12,swan,first,0.12195121951219512,FALSE,4
train,6,18,swan,second,0.12195121951219512,FALSE,14
train,7,17,swan,first,0.12195121951219512,FALSE,14
train,7,21,swan,second,0.12195121951219512,FALSE,9
train,8,8,swan,first,0.12195121951219512,FALSE,9
train,8,16,swan,second,0.12195121951219512,FALSE,9
train,9,24,swan,first,0.12195121951219512,FALSE,17
train,9,38,swan,second,0.12195121951219512,FALSE,10
train,11,31,swan,second,0.12195121951219512,FALSE,7
train,12,22,swan,first,0.12195121951219512,FALSE,5
train,12,30,swan,second,0.12195121951219512,FALSE,6
train,13,23,swan,first,0.12195121951219512,FALSE,13
train,13,31,swan,second,0.12195121951219512,FALSE,6
train,14,33,swan,first,0.12195121951219512,FALSE,4
train,14,37,swan,second,0.12195121951219512,FALSE,2
train,15,14,swan,first,0.12195121951219512,FALSE,3
train,15,32,swan,second,0.12195121951219512,FALSE,3
train,16,23,swan,first,0.12195121951219512,FALSE,1
train,16,33,swan,second,0.12195121951219512,FALSE,11
train,17,21,swan,first,0.12195121951219512,FALSE,14
train,17,37,swan,second,0.12195121951219512,FALSE,17
train,18,21,swan,first,0.12195121951219512,FALSE,6
train,18,33,swan,second,0.12195121951219512,FALSE,7
train,19,28,swan,first,0.12195121951219512,FALSE,5
train,19,34,swan,second,0.12195121951219512,FALSE,15
train,20,22,swan,first,0.12195121951219512,FALSE,6
train,20,36,swan,second,0.12195121951219512,FALSE,6
test,21,5,swan,first,0.12195121951219512,FALSE,17
test,21,11,swan,second,0.12195121951219512,FALSE,7
test,22,16,swan,first,0.12195121951219512,FALSE,3
test,22,20,swan,second,0.12195121951219512,FALSE,4
test,23,11,swan,first,0.12195121951219512,FALSE,6
test,23,29,swan,second,0.12195121951219512,FALSE,11
test,24,11,swan,first,0.12195121951219512,FALSE,11
test,24,25,swan,second,0.12195121951219512,FALSE,10
test,27,7,swan,first,0.12195121951219512,FALSE,11
test,27,15,swan,second,0.12195121951219512,FALSE,10
test,28,5,swan,first,0.12195121951219512,FALSE,31
test,28,39,swan,second,0.12195121951219512,FALSE,5
test,29,6,swan,first,0.12195121951219512,FALSE,4
test,29,24,swan,second,0.12195121951219512,FALSE,1
test,30,10,swan,first,0.12195121951219512,FALSE,4
test,30,12,swan,second,0.12195121951219512,FALSE,6
test,31,24,swan,first,0.12195121951219512,FALSE,7
test,31,34,swan,second,0.12195121951219512,FALSE,17
test,32,23,swan,first,0.12195121951219512,FALSE,9
test,32,31,swan,second,0.12195121951219512,FALSE,7
test,33,17,swan,first,0.12195121951219512,FALSE,7
test,33,27,swan,second,0.12195121951219512,FALSE,7
test,34,10,swan,first,0.12195121951219512,FALSE,22
test,34,28,swan,second,0.12195121951219512,FALSE,29
test,35,32,swan,first,0.12195121951219512,FALSE,34
test,35,36,swan,second,0.12195121951219512,FALSE,3
test,36,28,swan,first,0.12195121951219512,FALSE,26
test,36,36,swan,second,0.12195121951219512,FALSE,17
test,37,25,swan,first,0.12195121951219512,FALSE,22
test,37,37,swan,second,0.12195121951219512,FALSE,9
test,40,7,swan,first,0.12195121951219512,FALSE,10
test,40,15,swan,second,0.12195121951219512,FALSE,5
test,41,31,swan,first,0.12195121951219512,FALSE,8
test,41,37,swan,second,0.12195121951219512,FALSE,4
train,10,13,swan,first,0.12195121951219512,TRUE,5
train,10,33,swan,second,0.12195121951219512,TRUE,4
test,25,20,swan,first,0.12195121951219512,TRUE,4
test,25,36,swan,second,0.12195121951219512,TRUE,45
test,26,25,swan,first,0.12195121951219512,TRUE,8
test,26,29,swan,second,0.12195121951219512,TRUE,4
test,38,12,swan,first,0.12195121951219512,TRUE,4
test,38,30,swan,second,0.12195121951219512,TRUE,2
test,39,36,swan,first,0.12195121951219512,TRUE,3
test,39,40,swan,second,0.12195121951219512,TRUE,8
train,1,26,lobster,first,0.17073170731707318,FALSE,13
train,1,30,lobster,second,0.17073170731707318,FALSE,3
train,2,9,lobster,first,0.17073170731707318,FALSE,11
train,2,35,lobster,second,0.17073170731707318,FALSE,7
train,3,5,lobster,first,0.17073170731707318,FALSE,3
train,3,19,lobster,second,0.17073170731707318,FALSE,3
train,4,24,lobster,first,0.17073170731707318,FALSE,6
train,4,30,lobster,second,0.17073170731707318,FALSE,3
train,5,9,lobster,first,0.17073170731707318,FALSE,3
train,5,13,lobster,second,0.17073170731707318,FALSE,6
train,6,14,lobster,first,0.17073170731707318,FALSE,24
train,6,32,lobster,second,0.17073170731707318,FALSE,7
train,8,14,lobster,first,0.17073170731707318,FALSE,15
train,8,40,lobster,second,0.17073170731707318,FALSE,9
train,9,16,lobster,first,0.17073170731707318,FALSE,8
train,9,30,lobster,second,0.17073170731707318,FALSE,17
train,10,19,lobster,first,0.17073170731707318,FALSE,12
train,10,27,lobster,second,0.17073170731707318,FALSE,8
train,12,16,lobster,first,0.17073170731707318,FALSE,6
train,12,32,lobster,second,0.17073170731707318,FALSE,7
train,13,13,lobster,first,0.17073170731707318,FALSE,11
train,13,27,lobster,second,0.17073170731707318,FALSE,7
train,14,9,lobster,first,0.17073170731707318,FALSE,6
train,14,27,lobster,second,0.17073170731707318,FALSE,3
train,15,20,lobster,first,0.17073170731707318,FALSE,3
train,15,22,lobster,second,0.17073170731707318,FALSE,5
train,17,7,lobster,first,0.17073170731707318,FALSE,5
train,17,35,lobster,second,0.17073170731707318,FALSE,8
train,18,7,lobster,first,0.17073170731707318,FALSE,10
train,18,9,lobster,second,0.17073170731707318,FALSE,5
train,19,22,lobster,first,0.17073170731707318,FALSE,8
train,19,26,lobster,second,0.17073170731707318,FALSE,10
train,20,8,lobster,first,0.17073170731707318,FALSE,26
train,20,30,lobster,second,0.17073170731707318,FALSE,4
test,21,17,lobster,first,0.17073170731707318,FALSE,10
test,21,19,lobster,second,0.17073170731707318,FALSE,10
test,22,12,lobster,first,0.17073170731707318,FALSE,21
test,22,18,lobster,second,0.17073170731707318,FALSE,5
test,23,33,lobster,first,0.17073170731707318,FALSE,10
test,23,37,lobster,second,0.17073170731707318,FALSE,2
test,24,9,lobster,first,0.17073170731707318,FALSE,8
test,24,33,lobster,second,0.17073170731707318,FALSE,7
test,25,12,lobster,first,0.17073170731707318,FALSE,4
test,25,24,lobster,second,0.17073170731707318,FALSE,4
test,27,29,lobster,first,0.17073170731707318,FALSE,9
test,27,37,lobster,second,0.17073170731707318,FALSE,6
test,28,23,lobster,first,0.17073170731707318,FALSE,4
test,28,33,lobster,second,0.17073170731707318,FALSE,18
test,29,14,lobster,first,0.17073170731707318,FALSE,4
test,29,40,lobster,second,0.17073170731707318,FALSE,1
test,30,36,lobster,first,0.17073170731707318,FALSE,7
test,30,40,lobster,second,0.17073170731707318,FALSE,18
test,31,26,lobster,first,0.17073170731707318,FALSE,3
test,32,5,lobster,first,0.17073170731707318,FALSE,11
test,32,13,lobster,second,0.17073170731707318,FALSE,4
test,33,23,lobster,first,0.17073170731707318,FALSE,5
test,33,37,lobster,second,0.17073170731707318,FALSE,4
test,34,30,lobster,first,0.17073170731707318,FALSE,6
test,34,32,lobster,second,0.17073170731707318,FALSE,5
test,35,28,lobster,first,0.17073170731707318,FALSE,3
test,35,38,lobster,second,0.17073170731707318,FALSE,3
test,36,16,lobster,first,0.17073170731707318,FALSE,3
test,36,18,lobster,second,0.17073170731707318,FALSE,6
test,37,15,lobster,first,0.17073170731707318,FALSE,9
test,37,21,lobster,second,0.17073170731707318,FALSE,5
test,38,22,lobster,first,0.17073170731707318,FALSE,5
test,38,38,lobster,second,0.17073170731707318,FALSE,31
train,7,15,lobster,first,0.17073170731707318,TRUE,12
train,7,37,lobster,second,0.17073170731707318,TRUE,3
train,11,25,lobster,first,0.17073170731707318,TRUE,4
train,11,37,lobster,second,0.17073170731707318,TRUE,6
train,16,11,lobster,first,0.17073170731707318,TRUE,3
train,16,25,lobster,second,0.17073170731707318,TRUE,4
test,26,11,lobster,first,0.17073170731707318,TRUE,3
test,26,21,lobster,second,0.17073170731707318,TRUE,6
test,39,22,lobster,first,0.17073170731707318,TRUE,6
test,39,28,lobster,second,0.17073170731707318,TRUE,6
test,40,35,lobster,first,0.17073170731707318,TRUE,7
test,40,39,lobster,second,0.17073170731707318,TRUE,6
test,41,15,lobster,first,0.17073170731707318,TRUE,10
test,41,39,lobster,second,0.17073170731707318,TRUE,8
train,1,22,leopard,first,0.21951219512195122,FALSE,15
train,1,28,leopard,second,0.21951219512195122,FALSE,8
train,2,19,leopard,first,0.21951219512195122,FALSE,29
train,2,33,leopard,second,0.21951219512195122,FALSE,13
train,3,7,leopard,first,0.21951219512195122,FALSE,3
train,3,37,leopard,second,0.21951219512195122,FALSE,3
train,4,28,leopard,first,0.21951219512195122,FALSE,3
train,4,36,leopard,second,0.21951219512195122,FALSE,3
train,6,20,leopard,first,0.21951219512195122,FALSE,16
train,6,40,leopard,second,0.21951219512195122,FALSE,1
train,7,5,leopard,first,0.21951219512195122,FALSE,31
train,7,13,leopard,second,0.21951219512195122,FALSE,6
train,8,20,leopard,first,0.21951219512195122,FALSE,13
train,8,22,leopard,second,0.21951219512195122,FALSE,4
train,9,26,leopard,first,0.21951219512195122,FALSE,27
train,9,32,leopard,second,0.21951219512195122,FALSE,6
train,10,23,leopard,first,0.21951219512195122,FALSE,9
train,10,37,leopard,second,0.21951219512195122,FALSE,8
train,12,6,leopard,first,0.21951219512195122,FALSE,3
train,12,14,leopard,second,0.21951219512195122,FALSE,8
train,13,15,leopard,first,0.21951219512195122,FALSE,8
train,13,19,leopard,second,0.21951219512195122,FALSE,5
train,14,21,leopard,first,0.21951219512195122,FALSE,6
train,14,29,leopard,second,0.21951219512195122,FALSE,4
train,15,8,leopard,first,0.21951219512195122,FALSE,4
train,15,36,leopard,second,0.21951219512195122,FALSE,12
train,17,13,leopard,first,0.21951219512195122,FALSE,8
train,17,23,leopard,second,0.21951219512195122,FALSE,4
train,18,23,leopard,first,0.21951219512195122,FALSE,5
train,18,37,leopard,second,0.21951219512195122,FALSE,4
train,19,8,leopard,first,0.21951219512195122,FALSE,25
train,19,32,leopard,second,0.21951219512195122,FALSE,6
train,20,6,leopard,first,0.21951219512195122,FALSE,10
train,20,32,leopard,second,0.21951219512195122,FALSE,17
test,21,9,leopard,first,0.21951219512195122,FALSE,15
test,21,39,leopard,second,0.21951219512195122,FALSE,6
test,23,13,leopard,first,0.21951219512195122,FALSE,11
test,23,17,leopard,second,0.21951219512195122,FALSE,14
test,24,29,leopard,first,0.21951219512195122,FALSE,15
test,24,31,leopard,second,0.21951219512195122,FALSE,12
test,26,7,leopard,first,0.21951219512195122,FALSE,8
test,26,39,leopard,second,0.21951219512195122,FALSE,2
test,27,13,leopard,first,0.21951219512195122,FALSE,3
test,27,17,leopard,second,0.21951219512195122,FALSE,3
test,28,9,leopard,first,0.21951219512195122,FALSE,7
test,28,11,leopard,second,0.21951219512195122,FALSE,7
test,29,8,leopard,first,0.21951219512195122,FALSE,10
test,29,20,leopard,second,0.21951219512195122,FALSE,1
test,30,20,leopard,first,0.21951219512195122,FALSE,7
test,30,24,leopard,second,0.21951219512195122,FALSE,6
test,31,16,leopard,first,0.21951219512195122,FALSE,10
test,31,18,leopard,second,0.21951219512195122,FALSE,6
test,32,11,leopard,first,0.21951219512195122,FALSE,9
test,32,15,leopard,second,0.21951219512195122,FALSE,4
test,33,25,leopard,first,0.21951219512195122,FALSE,6
test,33,35,leopard,second,0.21951219512195122,FALSE,15
test,35,6,leopard,first,0.21951219512195122,FALSE,3
test,35,10,leopard,second,0.21951219512195122,FALSE,3
test,36,14,leopard,first,0.21951219512195122,FALSE,10
test,36,20,leopard,second,0.21951219512195122,FALSE,26
test,37,17,leopard,first,0.21951219512195122,FALSE,5
test,37,31,leopard,second,0.21951219512195122,FALSE,13
test,41,19,leopard,first,0.21951219512195122,FALSE,7
test,41,35,leopard,second,0.21951219512195122,FALSE,13
train,5,25,leopard,first,0.21951219512195122,TRUE,1
train,5,39,leopard,second,0.21951219512195122,TRUE,15
train,11,21,leopard,first,0.21951219512195122,TRUE,7
train,11,39,leopard,second,0.21951219512195122,TRUE,3
train,16,13,leopard,first,0.21951219512195122,TRUE,3
train,16,19,leopard,second,0.21951219512195122,TRUE,3
test,22,26,leopard,first,0.21951219512195122,TRUE,5
test,22,28,leopard,second,0.21951219512195122,TRUE,9
test,25,6,leopard,first,0.21951219512195122,TRUE,4
test,25,26,leopard,second,0.21951219512195122,TRUE,3
test,34,14,leopard,first,0.21951219512195122,TRUE,5
test,34,20,leopard,second,0.21951219512195122,TRUE,7
test,38,8,leopard,first,0.21951219512195122,TRUE,7
test,38,14,leopard,second,0.21951219512195122,TRUE,3
test,39,10,leopard,first,0.21951219512195122,TRUE,4
test,39,26,leopard,second,0.21951219512195122,TRUE,10
test,40,11,leopard,first,0.21951219512195122,TRUE,4
test,40,27,leopard,second,0.21951219512195122,TRUE,1
train,1,6,peacock,first,0.3170731707317073,FALSE,14
train,1,32,peacock,second,0.3170731707317073,FALSE,15
train,2,7,peacock,first,0.3170731707317073,FALSE,14
train,2,39,peacock,second,0.3170731707317073,FALSE,23
train,3,31,peacock,first,0.3170731707317073,FALSE,3
train,3,35,peacock,second,0.3170731707317073,FALSE,3
train,4,10,peacock,first,0.3170731707317073,FALSE,4
train,4,26,peacock,second,0.3170731707317073,FALSE,8
train,6,22,peacock,first,0.3170731707317073,FALSE,9
train,6,24,peacock,second,0.3170731707317073,FALSE,12
train,8,34,peacock,first,0.3170731707317073,FALSE,7
train,8,38,peacock,second,0.3170731707317073,FALSE,4
train,9,12,peacock,first,0.3170731707317073,FALSE,15
train,9,18,peacock,second,0.3170731707317073,FALSE,5
train,11,5,peacock,first,0.3170731707317073,FALSE,7
train,11,23,peacock,second,0.3170731707317073,FALSE,5
train,12,18,peacock,first,0.3170731707317073,FALSE,8
train,12,20,peacock,second,0.3170731707317073,FALSE,10
train,14,25,peacock,first,0.3170731707317073,FALSE,3
train,14,31,peacock,second,0.3170731707317073,FALSE,4
train,15,34,peacock,first,0.3170731707317073,FALSE,4
train,15,38,peacock,second,0.3170731707317073,FALSE,3
train,17,5,peacock,first,0.3170731707317073,FALSE,33
train,17,25,peacock,second,0.3170731707317073,FALSE,8
train,18,13,peacock,first,0.3170731707317073,FALSE,10
train,18,31,peacock,second,0.3170731707317073,FALSE,5
train,20,16,peacock,first,0.3170731707317073,FALSE,3
train,20,20,peacock,second,0.3170731707317073,FALSE,6
test,21,15,peacock,first,0.3170731707317073,FALSE,9
test,21,25,peacock,second,0.3170731707317073,FALSE,11
test,22,6,peacock,first,0.3170731707317073,FALSE,5
test,22,14,peacock,second,0.3170731707317073,FALSE,4
test,23,7,peacock,first,0.3170731707317073,FALSE,13
test,23,25,peacock,second,0.3170731707317073,FALSE,28
test,24,23,peacock,first,0.3170731707317073,FALSE,13
test,24,35,peacock,second,0.3170731707317073,FALSE,11
test,26,9,peacock,first,0.3170731707317073,FALSE,5
test,26,31,peacock,second,0.3170731707317073,FALSE,1
test,27,19,peacock,first,0.3170731707317073,FALSE,9
test,27,27,peacock,second,0.3170731707317073,FALSE,3
test,29,38,peacock,second,0.3170731707317073,FALSE,1
test,31,10,peacock,first,0.3170731707317073,FALSE,3
test,31,20,peacock,second,0.3170731707317073,FALSE,6
test,32,7,peacock,first,0.3170731707317073,FALSE,5
test,32,9,peacock,second,0.3170731707317073,FALSE,6
test,33,29,peacock,first,0.3170731707317073,FALSE,15
test,33,39,peacock,second,0.3170731707317073,FALSE,8
test,35,8,peacock,first,0.3170731707317073,FALSE,6
test,35,22,peacock,second,0.3170731707317073,FALSE,3
test,36,26,peacock,first,0.3170731707317073,FALSE,21
test,36,34,peacock,second,0.3170731707317073,FALSE,6
test,37,7,peacock,first,0.3170731707317073,FALSE,5
test,37,27,peacock,second,0.3170731707317073,FALSE,7
test,41,5,peacock,first,0.3170731707317073,FALSE,9
test,41,27,peacock,second,0.3170731707317073,FALSE,6
train,5,7,peacock,first,0.3170731707317073,TRUE,5
train,5,11,peacock,second,0.3170731707317073,TRUE,2
train,7,11,peacock,first,0.3170731707317073,TRUE,5
train,7,27,peacock,second,0.3170731707317073,TRUE,62
train,10,25,peacock,first,0.3170731707317073,TRUE,4
train,10,31,peacock,second,0.3170731707317073,TRUE,4
train,13,33,peacock,first,0.3170731707317073,TRUE,11
train,13,37,peacock,second,0.3170731707317073,TRUE,4
train,16,31,peacock,first,0.3170731707317073,TRUE,6
train,16,37,peacock,second,0.3170731707317073,TRUE,9
train,19,12,peacock,first,0.3170731707317073,TRUE,7
train,19,36,peacock,second,0.3170731707317073,TRUE,11
test,25,32,peacock,first,0.3170731707317073,TRUE,10
test,25,34,peacock,second,0.3170731707317073,TRUE,5
test,28,13,peacock,first,0.3170731707317073,TRUE,4
test,28,15,peacock,second,0.3170731707317073,TRUE,12
test,30,26,peacock,first,0.3170731707317073,TRUE,6
test,30,28,peacock,second,0.3170731707317073,TRUE,5
test,34,8,peacock,first,0.3170731707317073,TRUE,10
test,34,16,peacock,second,0.3170731707317073,TRUE,5
test,38,6,peacock,first,0.3170731707317073,TRUE,7
test,39,6,peacock,first,0.3170731707317073,TRUE,6
test,39,30,peacock,second,0.3170731707317073,TRUE,6
test,40,5,peacock,first,0.3170731707317073,TRUE,9
test,40,21,peacock,second,0.3170731707317073,TRUE,2
train,1,16,donkey,first,0.34146341463414637,FALSE,11
train,1,36,donkey,second,0.34146341463414637,FALSE,8
train,2,5,donkey,first,0.34146341463414637,FALSE,14
train,2,31,donkey,second,0.34146341463414637,FALSE,17
train,3,9,donkey,first,0.34146341463414637,FALSE,3
train,3,27,donkey,second,0.34146341463414637,FALSE,3
train,5,29,donkey,first,0.34146341463414637,FALSE,1
train,5,37,donkey,second,0.34146341463414637,FALSE,9
train,6,26,donkey,first,0.34146341463414637,FALSE,9
train,6,28,donkey,second,0.34146341463414637,FALSE,31
train,8,28,donkey,first,0.34146341463414637,FALSE,12
train,8,30,donkey,second,0.34146341463414637,FALSE,10
train,10,7,donkey,first,0.34146341463414637,FALSE,7
train,10,35,donkey,second,0.34146341463414637,FALSE,5
train,11,27,donkey,first,0.34146341463414637,FALSE,5
train,11,29,donkey,second,0.34146341463414637,FALSE,3
train,12,12,donkey,first,0.34146341463414637,FALSE,3
train,12,38,donkey,second,0.34146341463414637,FALSE,8
train,13,17,donkey,first,0.34146341463414637,FALSE,8
train,13,39,donkey,second,0.34146341463414637,FALSE,1
train,14,13,donkey,first,0.34146341463414637,FALSE,6
train,14,15,donkey,second,0.34146341463414637,FALSE,3
train,15,16,donkey,first,0.34146341463414637,FALSE,3
train,15,24,donkey,second,0.34146341463414637,FALSE,3
train,17,33,donkey,first,0.34146341463414637,FALSE,6
train,17,39,donkey,second,0.34146341463414637,FALSE,10
train,18,15,donkey,first,0.34146341463414637,FALSE,6
train,18,25,donkey,second,0.34146341463414637,FALSE,5
train,20,24,donkey,first,0.34146341463414637,FALSE,21
train,20,40,donkey,second,0.34146341463414637,FALSE,3
test,21,23,donkey,first,0.34146341463414637,FALSE,9
test,21,29,donkey,second,0.34146341463414637,FALSE,5
test,23,21,donkey,first,0.34146341463414637,FALSE,9
test,23,31,donkey,second,0.34146341463414637,FALSE,29
test,24,15,donkey,first,0.34146341463414637,FALSE,18
test,24,39,donkey,second,0.34146341463414637,FALSE,16
test,27,9,donkey,first,0.34146341463414637,FALSE,3
test,27,33,donkey,second,0.34146341463414637,FALSE,6
test,28,25,donkey,first,0.34146341463414637,FALSE,8
test,28,37,donkey,second,0.34146341463414637,FALSE,11
test,29,18,donkey,first,0.34146341463414637,FALSE,15
test,29,32,donkey,second,0.34146341463414637,FALSE,6
test,31,22,donkey,first,0.34146341463414637,FALSE,6
test,31,40,donkey,second,0.34146341463414637,FALSE,3
test,32,17,donkey,first,0.34146341463414637,FALSE,4
test,32,37,donkey,second,0.34146341463414637,FALSE,6
test,36,38,donkey,first,0.34146341463414637,FALSE,15
test,36,40,donkey,second,0.34146341463414637,FALSE,4
test,37,19,donkey,first,0.34146341463414637,FALSE,8
test,37,33,donkey,second,0.34146341463414637,FALSE,31
test,39,20,donkey,first,0.34146341463414637,FALSE,10
test,39,34,donkey,second,0.34146341463414637,FALSE,6
test,41,7,donkey,first,0.34146341463414637,FALSE,6
test,41,33,donkey,second,0.34146341463414637,FALSE,2
train,4,6,donkey,first,0.34146341463414637,TRUE,4
train,4,14,donkey,second,0.34146341463414637,TRUE,4
train,7,25,donkey,first,0.34146341463414637,TRUE,38
train,7,31,donkey,second,0.34146341463414637,TRUE,3
train,9,20,donkey,first,0.34146341463414637,TRUE,13
train,9,34,donkey,second,0.34146341463414637,TRUE,21
train,16,27,donkey,first,0.34146341463414637,TRUE,6
train,16,39,donkey,second,0.34146341463414637,TRUE,5
train,19,38,donkey,first,0.34146341463414637,TRUE,9
train,19,40,donkey,second,0.34146341463414637,TRUE,9
test,22,38,donkey,first,0.34146341463414637,TRUE,4
test,22,40,donkey,second,0.34146341463414637,TRUE,10
test,25,10,donkey,first,0.34146341463414637,TRUE,4
test,25,16,donkey,second,0.34146341463414637,TRUE,4
test,26,17,donkey,first,0.34146341463414637,TRUE,8
test,26,27,donkey,second,0.34146341463414637,TRUE,4
test,30,6,donkey,first,0.34146341463414637,TRUE,9
test,30,14,donkey,second,0.34146341463414637,TRUE,9
test,33,9,donkey,first,0.34146341463414637,TRUE,6
test,33,11,donkey,second,0.34146341463414637,TRUE,4
test,34,22,donkey,first,0.34146341463414637,TRUE,6
test,34,36,donkey,second,0.34146341463414637,TRUE,1
test,35,16,donkey,first,0.34146341463414637,TRUE,3
test,35,40,donkey,second,0.34146341463414637,TRUE,3
test,38,26,donkey,first,0.34146341463414637,TRUE,9
test,38,36,donkey,second,0.34146341463414637,TRUE,3
test,40,17,donkey,first,0.34146341463414637,TRUE,6
test,40,33,donkey,second,0.34146341463414637,TRUE,2
train,1,38,raccoon,first,0.3902439024390244,FALSE,3
train,1,40,raccoon,second,0.3902439024390244,FALSE,8
train,2,11,raccoon,first,0.3902439024390244,FALSE,6
